"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
29031,"EBBT","small_airport","Brasschaat Airfield",51.340801239,4.504399776460001,76,"EU","BE","BE-VAN","Brasschaat","no","EBBT",,,,,
30967,"EBBW","closed","Bassenge-Wonck ulmodrome",50.778301239,5.61667013168,367,"EU","BE","BE-WLG","Bassenge","no","EBBW",,,,,
2156,"EBBX","small_airport","Jehonville Air Base",49.891700744628906,5.2238898277282715,1514,"EU","BE","BE-WLX","Bertrix","no","EBBX",,,,,
43748,"EBBY","small_airport","Baisy-Thy Airport",50.56861114501953,4.434721946716309,525,"EU","BE","BE-WBR","Genappe","no","EBBY",,,,,
43749,"EBBZ","small_airport","Buzet Airstrip",50.54169845581055,4.381110191345215,522,"EU","BE","BE-WHT","Pont-A-Celles","no","EBBZ",,,,,
29771,"EBCF","small_airport","Cerfontaine Nouv Airport",50.152801513671875,4.3872199058532715,961,"EU","BE","BE-WNA","Cerfontaine","no","EBCF",,,,,
300107,"EBCH","heliport","SHAPE Helipad",50.5030555556,3.9825,287,"EU","BE","BE-WHT","Mons","no","EBCH",,,,,"Supreme Headquarters Allied Powers Europe, NATO"
2157,"EBCI","large_airport","Brussels South Charleroi Airport",50.459201812699995,4.45382022858,614,"EU","BE","BE-WHT","Brussels","yes","EBCI","CRL",,"http://www.charleroi-airport.com/doc.php?nd=o29&tid=29&lg=2&docid=1&site=1","http://en.wikipedia.org/wiki/Brussels_South_Charleroi_Airport",
43761,"EBCR","closed","Chimay-Ronvaux Ulmodrome",50.2472229004,5.11388921738,1076,"EU","BE","BE-WNA","Ciney","no","EBCR",,,,,
30968,"EBCS","small_airport","Saint-Remy Airport",50.05830001831055,4.28193998336792,820,"EU","BE","BE-WHT","Chimay","no","EBCS",,,,,
2158,"EBCV","medium_airport","Chièvres Air Base",50.575801849365234,3.8310000896453857,194,"EU","BE","BE-WHT","Chièvres","no","EBCV",,,,"http://en.wikipedia.org/wiki/Chievres_Air_Base",
29032,"EBDI","heliport","Diksmuide heliport",51.0180549621582,2.8569440841674805,13,"EU","BE","BE-VWV","Diksmuide","no","EBDI",,,,,
43738,"EBDL","heliport","Lanklaar heliport",51.01765060424805,5.699703216552734,131,"EU","BE","BE-VLI","Dilsen-Stokkem","no","EBDL",,,,,
30969,"EBDT","small_airport","Schaffen Airport",50.99919891357422,5.0655598640441895,100,"EU","BE","BE-VBR","Diest","no","EBDT",,,,,
43734,"EBDW","heliport","Webbekom heliport",50.9636116027832,5.064722061157227,130,"EU","BE","BE-VBR","Diest","no","EBDW",,,,,
43721,"EBEN","heliport","Engels heliport",51.211666107177734,4.5808329582214355,33,"EU","BE","BE-VAN","Ranst","no","EBEN",,,,,
43727,"EBEU","heliport","UZA heliport",51.155879974365234,4.409976005554199,46,"EU","BE","BE-VAN","Edegem","no","EBEU",,,,,
43760,"EBFD","heliport","Dompire heliport",50.55083465576172,4.996388912200928,607,"EU","BE","BE-WNA","Fernelmont","no","EBFD",,,,,
2159,"EBFN","medium_airport","Koksijde Air Base",51.090301513671875,2.652780055999756,20,"EU","BE","BE-VWV","Koksijde","no","EBFN",,,,,
43756,"EBFR","heliport","Francorchamps heliport",50.456178881499994,5.95332384109,1575,"EU","BE","BE-WLG","Francorchamps","no","EBFR",,,,,
2160,"EBFS","medium_airport","Florennes Air Base",50.2433013916,4.64583015442,935,"EU","BE","BE-WNA","Florennes","no","EBFS",,,,"http://en.wikipedia.org/wiki/Florennes_Air_Base",
28478,"EBGB","small_airport","Grimbergen Airfield",50.948546,4.39181,70,"EU","BE","BE-VBR","Grimbergen","no","EBGB",,,,"http://en.wikipedia.org/wiki/Grimbergen_Airfield","Bullange, Lint Airport"
29033,"EBGG","small_airport","Overboelare Airport",50.75559997558594,3.8638899326324463,56,"EU","BE","BE-VOV","Geraardsbergen","no","EBGG",,,,,
308567,"EBGL","heliport","CRC Glons Heliport",50.73973,5.5421,438,"EU","BE","BE-WLG","Bassenge","no","EBGL",,,,,
29034,"EBGT","heliport","UZ Gent heliport",51.02055740356445,3.7302780151367188,26,"EU","BE","BE-VOV","Gent","no","EBGT",,,,,
43736,"EBHA","heliport","Ham heliport",51.07935333251953,5.109154224395752,98,"EU","BE","BE-VLI","Ham","no","EBHA",,,,,
30970,"EBHE","closed","Héron-Couthuin Ulmodrome",50.538898468,5.10916996002,607,"EU","BE","BE-WLG","Héron","no","EBHE",,,,,
43735,"EBHL","heliport","Halen heliport",50.93083190917969,5.0813889503479,121,"EU","BE","BE-VLI","Halen","no","EBHL",,,,,
43740,"EBHM","heliport","Maasland heliport",50.90972137451172,5.348888874053955,164,"EU","BE","BE-VLI","Hasselt","no","EBHM",,,,,
29954,"EBHN","small_airport","Hoevenen Airfield",51.306098938,4.387219905849999,10,"EU","BE","BE-VAN","Hoevenen","no","EBHN",,,,"https://en.wikipedia.org/wiki/Hoevenen_Airfield",
43730,"EBHO","heliport","Holsbeek heliport",50.912776947021484,4.735000133514404,82,"EU","BE","BE-VBR","Holsbeek","no","EBHO",,,,,
43737,"EBHT","heliport","Houthalen heliport",51.01499938964844,5.362500190734863,164,"EU","BE","BE-VLI","Houthalen","no","EBHT",,,,,
29035,"EBIS","small_airport","Ath/Isieres Airport",50.66419982910156,3.8044400215148926,98,"EU","BE","BE-WHT","Isieres","no","EBIS",,,,,
29036,"EBKH","small_airport","Balen-Keiheuvel Airfield",51.180957,5.221124,131,"EU","BE","BE-VAN","Balen","no","EBKH",,,"http://www.aeroclub-keiheuvel.be/","http://en.wikipedia.org/wiki/Balen-Keiheuvel_Aerodrome",
2161,"EBKT","medium_airport","Wevelgem Airport",50.817199707,3.20472002029,64,"EU","BE","BE-VWV","Wevelgem","no","EBKT","KJK",,"http://www.kortrijkairport.be","http://en.wikipedia.org/wiki/Kortrijk-Wevelgem_International_Airport",
29037,"EBKU","heliport","Kuurne Heliport",50.85940170288086,3.2566699981689453,47,"EU","BE","BE-VWV","Kuurne","no","EBKU",,,,,
29038,"EBKW","heliport","Westkapelle heliport",51.32222366333008,3.293056011199951,10,"EU","BE","BE-VWV","Knokke-Heist","no","EBKW",,,,,
30971,"EBLB","small_airport","Elsenborn Airport",50.4817008972168,6.181940078735352,1830,"EU","BE","BE-WLG","Bütgenbach","no","EBLB",,,,,
43755,"EBLC","heliport","Citadelle heliport",50.65342712402344,5.577610969543457,531,"EU","BE","BE-WLG","Liège","no","EBLC",,,,,
30068,"EBLE","small_airport","Leopoldsburg Airfield",51.1194000244,5.30082988739,207,"EU","BE","BE-VLI","Leopoldsburg","no","EBLE",,,"http://www.eble.be/","http://en.wikipedia.org/wiki/Aeroclub_Sanicole_VZW","Beverlo"
2162,"EBLG","large_airport","Liège Airport",50.63740158081055,5.443220138549805,659,"EU","BE","BE-WLG","Liège","yes","EBLG","LGG",,"http://www.liegeairport.be/","http://en.wikipedia.org/wiki/Li%C3%A8ge_Airport",
30972,"EBLI","closed","Lierneux Airport",50.2867012024,5.83639001846,1411,"EU","BE","BE-WLG","Lierneux","no","EBLI",,,,,
30973,"EBLN","small_airport","Liernu Airport",50.58060073852539,4.792500019073486,564,"EU","BE","BE-WNA","Eghezée","no","EBLN",,,,,
43757,"EBLO","heliport","Orban heliport",50.63091278076172,5.571725845336914,160,"EU","BE","BE-WLG","Liège","no","EBLO",,,,,
29039,"EBLR","heliport","Reninge heliport",50.93388748168945,2.755000114440918,25,"EU","BE","BE-VWV","Lo-Reninge","no","EBLR",,,,,
43759,"EBLS","heliport","Sart Tilman heliport",50.571388244628906,5.565278053283691,771,"EU","BE","BE-WLG","Liège","no","EBLS",,,,,
